cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,absolute-pressure,      x-velocity,      y-velocity,      z-velocity
         1,-6.191733479E-02,-1.062190458E-01, 1.841424778E-02,-5.126020313E+04,-9.017122388E-01, 2.739579976E-01,-1.174882174E+00
         2,-6.095930561E-02,-1.060424224E-01, 1.933323219E-02,-5.126806250E+04,-8.869666457E-01, 3.854848444E-01,-1.147564173E+00
         3,-1.314288825E-01, 3.116708249E-03, 7.345786691E-02,-5.320218750E+03,-1.406119108E+00,-1.864655018E+00, 3.201155186E+00
         4,-1.318681985E-01, 2.503987635E-03, 7.385643572E-02,-4.655046875E+03,-1.389327526E+00,-1.984439135E+00, 3.396525621E+00
         5,-1.309819072E-01, 3.723860253E-03, 7.385643572E-02,-1.018484375E+03,-1.328582406E+00,-1.733561277E+00, 3.050379276E+00
         6,-7.043146994E-03,-7.705681026E-02, 4.070326686E-03,-6.066106250E+04,-2.611000240E-01,-2.169917077E-01,-5.408713222E-01
         7,-6.570498459E-03,-7.732146233E-02, 3.559204983E-03,-6.075615625E+04,-2.693670094E-01,-2.167407572E-01,-5.700094104E-01
         8,-5.283298902E-03,-7.721408457E-02, 3.862690413E-03,-6.064659375E+04,-2.820790410E-01,-2.340560555E-01,-5.484036803E-01
         9,-4.828196485E-03,-7.751218975E-02, 3.386863973E-03,-6.073315625E+04,-2.538409233E-01,-2.428971380E-01,-5.606636405E-01
        10,-6.217692047E-03,-7.666350901E-02, 4.852327053E-03,-6.041806250E+04,-2.381622344E-01,-1.936447918E-01,-5.103707910E-01
        11,-5.512639415E-03,-7.671444118E-02, 5.265336484E-03,-6.043275000E+04,-2.648641169E-01,-2.125899494E-01,-5.316394567E-01
        12,-1.175380647E-01,-3.714693710E-03,-2.558814734E-02, 4.214837500E+04,-8.061922789E-01,-1.147718906E+00, 2.929852486E+00
        13,-1.160869300E-01,-3.422961337E-03,-2.622252330E-02, 4.308749219E+04,-8.364372849E-01,-1.129843354E+00, 2.858310699E+00
        14,-2.012768760E-02,-1.076594219E-01, 7.375830412E-02, 5.732734375E+02, 1.080701709E+00, 9.572016001E-01, 3.271184206E+00
        15,-2.104750276E-02,-1.076725796E-01, 7.325343043E-02,-2.575632813E+03, 1.162719369E+00, 9.465221763E-01, 3.339582205E+00
        16,-1.306147128E-01,-3.776156157E-02, 6.259828806E-02,-3.484800000E+04,-1.219720468E-01,-1.434428096E+00, 4.428227425E+00
        17,-1.300565153E-01,-3.900343180E-02, 6.358837336E-02,-3.210310938E+04,-1.132135689E-01,-1.383008718E+00, 4.383112907E+00
        18,-5.045237485E-03,-7.698437572E-02, 4.767709412E-03,-6.060528125E+04,-2.271115482E-01,-2.371792644E-01,-5.583488941E-01
        19, 1.263738028E-03,-6.546588987E-02, 2.908327617E-02,-6.046692188E+04,-5.733156204E-01,-4.607172310E-01,-9.224063754E-01
        20, 1.566705527E-03,-6.541500986E-02, 2.805655822E-02,-6.039720313E+04,-5.587640405E-01,-4.164258242E-01,-8.531293869E-01
        21,-9.120349586E-02, 3.141134232E-02, 2.607890964E-02,-4.681792188E+04,-1.975700259E+00,-6.753907204E-01, 4.532169819E+00
        22,-9.201271087E-02, 3.152669594E-02, 2.532072179E-02,-4.401184375E+04,-1.913613677E+00,-6.320616603E-01, 4.438049793E+00
        23,-6.154897623E-03,-7.712323964E-02, 3.948632162E-03,-6.059723438E+04,-2.452930659E-01,-2.045404315E-01,-5.668218732E-01
        24, 5.507561378E-03,-7.548555732E-02, 7.242475450E-02,-2.334603906E+04, 1.158190370E+00, 2.705261946E+00, 2.385695934E+00
        25, 5.382923409E-03,-7.638110965E-02, 7.266072929E-02,-2.027282813E+04, 1.181306362E+00, 2.476248503E+00, 2.456762791E+00
        26,-5.687906407E-03,-7.740388066E-02, 3.456623061E-03,-6.081850000E+04,-2.543664575E-01,-2.321212441E-01,-5.742336512E-01
        27,-1.138684899E-01,-1.048665643E-01, 5.098846927E-02,-3.870815625E+04,-2.791277468E-01, 4.520817697E-01,-1.193331003E+00
        28,-1.138531342E-01,-1.052184924E-01, 5.121264607E-02,-3.828657813E+04,-3.147417009E-01, 4.882654846E-01,-1.192120552E+00
        29,-9.620851278E-02,-1.152048931E-01,-3.386167809E-02,-6.152528125E+04,-6.302565336E-01, 3.458316624E-01,-1.320017934E+00
        30,-9.607879817E-02,-1.153931096E-01,-3.465364873E-02,-6.116790625E+04,-6.792873144E-01, 6.885527372E-01,-1.277184010E+00
        31,-1.136500165E-01,-1.043521985E-01, 5.122050643E-02,-3.908571875E+04,-1.794279367E-01, 5.358855724E-01,-1.082902193E+00
        32, 4.702731501E-03,-7.678240538E-02, 7.256730646E-02,-1.868828125E+04, 1.174108148E+00, 2.575084209E+00, 2.612115860E+00
        33,-1.286029518E-01, 6.180066150E-03, 7.345786691E-02, 1.563125000E+02,-1.286495447E+00,-1.742297530E+00, 3.686672211E+00
        34,-1.286592484E-01, 5.259299651E-03, 7.385643572E-02, 2.251804688E+03,-1.304581642E+00,-1.750546336E+00, 3.707859993E+00
        35,-1.295807809E-01, 5.235895514E-03, 7.385643572E-02,-1.725156250E+02,-1.392398834E+00,-1.776729226E+00, 3.710239172E+00
        36,-1.281260401E-01, 6.763993297E-03, 7.385643572E-02, 2.476640625E+02,-1.139429331E+00,-1.466142535E+00, 3.297123194E+00
        37, 1.021003583E-03,-6.623781472E-02, 2.624892257E-02,-6.046668750E+04,-5.832455158E-01,-3.836557567E-01,-8.269192576E-01
        38, 1.379142632E-03,-6.601674110E-02, 2.668832801E-02,-6.049075000E+04,-5.601826310E-01,-3.863462806E-01,-8.548060060E-01
        39, 1.054357621E-03,-6.695496291E-02, 2.545231208E-02,-6.046765625E+04,-5.185512304E-01,-3.806524873E-01,-8.590157032E-01
        40,-5.796289444E-02,-1.065145135E-01, 1.764136553E-02,-5.738767188E+04, 2.060358047E+00, 5.631626248E-01, 4.596947670E+00
        41,-5.772207305E-02,-1.070286408E-01, 1.744001172E-02,-5.625956250E+04, 1.929431558E+00, 5.996226668E-01, 4.764118195E+00
        42,-6.841326505E-02,-1.191912144E-01,-4.704217426E-03,-5.260829688E+04,-7.597008348E-01, 2.137631476E-01,-9.996086359E-01
        43,-6.855733693E-02,-1.198862046E-01,-3.783262568E-03,-5.294395313E+04,-6.863791347E-01, 1.532539129E-01,-9.214666486E-01
        44, 3.469200106E-03,-7.999661565E-02, 7.266072929E-02,-1.818291406E+04, 1.169067383E+00, 2.284963131E+00, 2.709347486E+00
        45, 3.448006697E-03,-7.904195786E-02, 7.256730646E-02,-1.819150781E+04, 1.056588411E+00, 2.455419302E+00, 2.757346153E+00
        46,-4.422155023E-02,-1.197830588E-01, 7.243479788E-02,-1.980620313E+04, 1.747285962E+00, 5.759524107E-01, 1.128782630E+00
        47,-4.342580214E-02,-1.190878302E-01, 7.137982547E-02,-1.963396875E+04, 1.853865147E+00, 5.780403018E-01, 1.159686565E+00
        48,-5.841659009E-02,-1.064009964E-01, 1.611837000E-02,-5.680068750E+04, 2.010921478E+00, 4.686715901E-01, 4.609549522E+00
        49,-5.833122134E-02,-1.071077138E-01, 1.607816853E-02,-5.611375000E+04, 1.918966770E+00, 5.755382180E-01, 4.769898891E+00
        50,-5.729990825E-02,-1.072441563E-01, 1.801955514E-02,-5.633387500E+04, 1.919407129E+00, 6.224163771E-01, 4.739624023E+00
        51,-6.188433990E-02,-1.047248691E-01, 2.057730220E-02,-5.091964063E+04,-8.811348677E-01, 2.865955606E-02,-1.319462419E+00
        52,-6.170612574E-02,-1.044326127E-01, 1.988704875E-02,-5.016284375E+04,-9.000188112E-01, 8.747702092E-02,-1.327888370E+00
        53,-1.255296320E-01, 9.138556197E-03, 7.337282598E-02, 5.283593750E+02,-1.165759087E+00,-1.524507403E+00, 3.273177862E+00
        54,-1.252924502E-01, 1.001823042E-02, 7.385643572E-02, 5.357054688E+03,-1.141240001E+00,-1.395487666E+00, 2.946718931E+00
        55,-5.790432915E-02,-1.073270217E-01, 1.666318998E-02,-5.568089063E+04, 1.994604707E+00, 5.525795221E-01, 4.701210022E+00
        56,-4.635837674E-02,-1.203908995E-01, 7.337053120E-02,-1.863034375E+04, 1.847418308E+00, 4.915717542E-01, 1.243547797E+00
        57,-4.589533433E-02,-1.196856648E-01, 7.380625606E-02,-1.769621875E+04, 1.850827456E+00, 5.558171272E-01, 1.254623175E+00
        58,-3.070917353E-02,-1.022230685E-01,-4.207335785E-02,-1.680789063E+04,-1.234187245E+00,-1.619756937E+00, 4.541585445E+00
        59,-2.988150530E-02,-1.025940031E-01,-4.314000905E-02, 1.120679688E+04,-1.163533688E+00,-1.143377304E+00, 3.517829180E+00
        60,-4.506797716E-02,-1.200305521E-01, 7.380625606E-02,-1.749748438E+04, 1.854689121E+00, 5.386050940E-01, 1.211828589E+00
        61, 9.837115649E-04,-7.069347799E-02, 1.880949922E-02,-6.050728125E+04,-2.055716068E-01,-2.306847274E-01,-5.304600596E-01
        62, 1.995198196E-03,-7.037344575E-02, 1.859014481E-02,-6.044282813E+04,-2.249532491E-01,-2.570584416E-01,-5.577545166E-01
        63,-6.135345250E-02,-1.046741903E-01, 1.926908270E-02,-5.107934375E+04,-8.785787821E-01, 3.848008215E-01,-1.384882808E+00
        64,-4.712134972E-02,-1.205926389E-01, 7.381927967E-02,-1.827294531E+04, 1.767007232E+00, 4.898489416E-01, 1.317927241E+00
        65,-6.745959073E-02,-1.236022115E-01,-1.285810582E-02, 1.596384375E+04, 1.607642651E+00,-4.285469279E-02, 2.584291220E+00
        66,-6.755274534E-02,-1.233446971E-01,-1.287799329E-02, 1.673652344E+04, 1.869858027E+00, 3.145148605E-02, 3.053892851E+00
        67,-4.508360848E-02,-1.197517067E-01, 7.197882235E-02,-2.013707031E+04, 1.869749904E+00, 5.590376258E-01, 1.228637338E+00
